Category,Rank_in_Category,Protocol_Name,Slug,TVL_USD,TVL_Billions,TVR_Percentage,Plain_Token_Symbols,Plain_Token_Value_USD,Plain_Token_Value_Billions,Top_Token_1,Top_Token_1_Value_B,Top_Token_2,Top_Token_2_Value_B,Top_Token_3,Top_Token_3_Value_B,Chains,Description,URL,Twitter
Liquid Staking,1,Lido,lido,38273800928.05231,38.27380092805231,0.03301100881302764,"MATIC, KSM, DOT, SOL",12634567.79744,0.01263456779744,WETH,38.26116636025486,SOL,0.00980606266157,MATIC,0.0026728270712000003,"Ethereum, Solana, Moonbeam, Moonriver, Terra","Liquid staking for Ethereum and Polygon. Daily staking rewards, no lock ups.",https://lido.fi/,LidoFinance
Liquid Staking,2,Binance staked ETH,binance-staked-eth,13836676788.470547,13.836676788470546,6.418761665720976,ETH,888143305.50806,0.88814330550806,WETH,12.94853348296249,ETH,0.88814330550806,,0.0,"Ethereum, Binance",A token created by depositing BETH into the BETH wrapper. Each WBETH represents 1 BETH (1:1 to staked ETH) plus all of its accrued ETH2.0 staking rewards,https://www.binance.com/en/wbeth,binance
Liquid Staking,3,Rocket Pool,rocket-pool,2843241005.2201433,2.8432410052201433,0.0,,0.0,0.0,WETH,2.84324100522014,,0.0,,0.0,Ethereum,"Rocket Pool is the first truly decentralised Ethereum staking pool. Liquid Staking, Audited SC, and Minimised Penalty Risk. Unlike solo stakers, who are required to put 32 ETH up for deposit to create a new validator, Rocket Pool nodes only need to deposit 16 ETH per validator. This will be coupled with 16 ETH from the staking pool (which stakers deposited in exchange for rETH) to create a new ETH2 validator.",https://rocketpool.net,Rocket_Pool
Liquid Staking,4,Liquid Collective,liquid-collective,1588068547.2631893,1.5880685472631892,0.0,,0.0,0.0,WETH,1.5880685472631901,,0.0,,0.0,Ethereum,Liquid Collective is a non-custodial staking protocol launched on Ethereum. Liquid Collective is built and run by a collective of leading web3 teams. The protocol was initially launched in 2023.,https://liquidcollective.io,liquid_col
Liquid Staking,5,StakeWise V2,stakewise-v2,1393517394.498166,1.393517394498166,0.0,,0.0,0.0,WETH,1.3919674044822299,GNO,0.00154999001593,,0.0,"Ethereum, xDai",Stake your ETH and manage your capital flexibly with the principal and yield tokens from StakeWise.,https://stakewise.io/,stakewise_io
Lending,1,Aave V3,aave-v3,36871780105.59159,36.87178010559159,5.68047706867419,"USDT, AAVE, OP, USDC, CELO, ETH, CRV, MKR, SNX, BAL, UNI, LDO, 1INCH, RPL, FXS, PYUSD, ARB, SUSHI, CAKE, FDUSD, EURC",2094493013.7101004,2.0944930137101005,WEETH,9.41745527091611,WSTETH,5.352621368630279,WBTC,5.11262091606781,"Ethereum, Arbitrum, Base, Avalanche, Polygon, Binance, Optimism, Sonic, Linea, xDai, Scroll, Celo, Metis, zkSync Era, Soneium, Fantom, Harmony","Earn interest, borrow assets, and build applications",https://aave.com,aave
Lending,2,Morpho Blue,morpho-blue,6527228613.377546,6.527228613377546,5.063744505970391,"USDC, FXS, UNI, AAVE, USDT, ETH, PYUSD, MKR, EURC, PERP",331726738.41812,0.33172673841812,CBBTC,2.02994643262398,WSTETH,0.57869690588762,PT-USDE-25SEP2025,0.43928213516562997,"Ethereum, Base, Hyperliquid L1, Katana, Unichain, Polygon, World Chain, Plume Mainnet, TAC, Arbitrum, Corn, Optimism, Soneium, Fraxtal, Sonic, Scroll, Ink, Lisk, Hemi, Flame, Zircuit, Mode",Morpho Blue is a trustless and efficient lending primitive with permissionless market creation,https://app.morpho.org,MorphoLabs
Lending,3,SparkLend,sparklend,5090757198.45385,5.09075719845385,1.5458332900290592,"USDC, USDT, PYUSD",78694619.48825,0.07869461948825,WSTETH,3.41674555858118,WEETH,0.41256823939607,CBBTC,0.20311728104205,"Ethereum, xDai","SparkLend is a stablecoin lending market. Unlike other lending protocols where rates fluctuate based on utilization or loan size, SparkLend offers governance-defined rates that do not vary based on those factors. This is made possible by Spark’s Liquidity Layer (SLL), which supplies consistent stablecoin liquidity to the protocol",https://www.spark.fi/,sparkdotfi
Lending,4,Compound V3,compound-v3,2275217754.7169266,2.2752177547169268,5.143868134331619,"ETH, USDC, COMP, UNI, USDT, OP, ARB, GMX",117034201.07154,0.11703420107154,WBTC,0.9115601183745901,WSTETH,0.48062765927701,WETH,0.37805374573057005,"Ethereum, Arbitrum, Base, Optimism, Polygon, Unichain, Mantle, Ronin, Scroll","Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",https://v3-app.compound.finance/,compoundfinance
Lending,5,Maple,maple,1957916666.074918,1.957916666074918,99.99645262134882,"USDC, USDT",1957847211.3571,1.9578472113571,USDC,1.8613939787915001,USDT,0.0964532325656,WETH,6.945471782e-05,"Ethereum, Solana",Maple Finance is an institutional capital marketplace powered by blockchain technology.,https://www.maple.finance,maplefinance
