Category,Rank_in_Category,Protocol_Name,Slug,TVL_USD,TVL_Billions,TVR_Percentage,Plain_Token_Symbols,Plain_Token_Value_USD,Plain_Token_Value_Billions,Top_Token_1,Top_Token_1_Value_B,Top_Token_2,Top_Token_2_Value_B,Top_Token_3,Top_Token_3_Value_B,Chains,Description,URL,Twitter
Liquid Staking,1,Lido,lido,42048201995.62163,42.048201995621625,0.03321258097681364,"MATIC, DOT, KSM, SOL",13965293.13709,0.01396529313709,WETH,42.03423670248453,SOL,0.01095904332673,MATIC,0.00283320673189,"Ethereum, Solana, Moonbeam, Moonriver, Terra","Liquid staking for Ethereum and Polygon. Daily staking rewards, no lock ups.",https://lido.fi/,LidoFinance
Liquid Staking,2,Binance staked ETH,binance-staked-eth,15813435376.981071,15.813435376981072,6.197532914262992,ETH,980042862.36411,0.98004286236411,WETH,14.83339251461696,ETH,0.98004286236411,,0.0,"Ethereum, Binance",A token created by depositing BETH into the BETH wrapper. Each WBETH represents 1 BETH (1:1 to staked ETH) plus all of its accrued ETH2.0 staking rewards,https://www.binance.com/en/wbeth,binance
Liquid Staking,3,Rocket Pool,rocket-pool,3129545898.8725643,3.129545898872564,0.0,,0.0,0.0,WETH,3.12954589887256,,0.0,,0.0,Ethereum,"Rocket Pool is the first truly decentralised Ethereum staking pool. Liquid Staking, Audited SC, and Minimised Penalty Risk. Unlike solo stakers, who are required to put 32 ETH up for deposit to create a new validator, Rocket Pool nodes only need to deposit 16 ETH per validator. This will be coupled with 16 ETH from the staking pool (which stakers deposited in exchange for rETH) to create a new ETH2 validator.",https://rocketpool.net,Rocket_Pool
Liquid Staking,4,Liquid Collective,liquid-collective,1752960972.4327583,1.7529609724327584,0.0,,0.0,0.0,WETH,1.75296097243276,,0.0,,0.0,Ethereum,Liquid Collective is a non-custodial staking protocol launched on Ethereum. Liquid Collective is built and run by a collective of leading web3 teams. The protocol was initially launched in 2023.,https://liquidcollective.io,liquid_col
Liquid Staking,5,StakeWise V2,stakewise-v2,1541143476.5176911,1.5411434765176912,0.0,,0.0,0.0,WETH,1.53948186828221,GNO,0.00166160823548,,0.0,"Ethereum, xDai",Stake your ETH and manage your capital flexibly with the principal and yield tokens from StakeWise.,https://stakewise.io/,stakewise_io
Lending,1,Aave V3,aave-v3,40739958364.22754,40.73995836422754,6.946663680132289,"USDC, USDT, CELO, ETH, AAVE, CRV, MKR, SNX, BAL, UNI, LDO, 1INCH, RPL, FXS, PYUSD, EURC, SUSHI, OP, ARB, CAKE, FDUSD",2830067890.9888096,2.8300678909888095,WEETH,10.42888293870827,WSTETH,5.9859676532023895,WBTC,5.15719869466102,"Ethereum, Arbitrum, Base, Avalanche, Polygon, Binance, Linea, Optimism, Sonic, xDai, Scroll, Celo, Metis, zkSync Era, Soneium, Fantom, Harmony","Earn interest, borrow assets, and build applications",https://aave.com,aave
Lending,2,Morpho Blue,morpho-blue,6928098815.45204,6.9280988154520395,4.7661865646175166,"USDC, ETH, FXS, AAVE, USDT, UNI, PYUSD, MKR, EURC, PERP",330206114.9255,0.33020611492549995,CBBTC,2.0903786652705,WSTETH,0.6439699442887501,PT-USDE-25SEP2025,0.55865921817409,"Ethereum, Base, Hyperliquid L1, Katana, Unichain, Polygon, World Chain, TAC, Plume Mainnet, Arbitrum, Corn, Optimism, Soneium, Fraxtal, Sonic, Scroll, Ink, Hemi, Mode, Zircuit, Lisk, Flame",Morpho Blue is a trustless and efficient lending primitive with permissionless market creation,https://app.morpho.org,MorphoLabs
Lending,3,SparkLend,sparklend,5668189852.662176,5.668189852662176,1.7739057024816418,"USDC, USDT, PYUSD",100548343.02386001,0.10054834302386001,WSTETH,3.7904413734190103,WEETH,0.45432858731976,CBBTC,0.27046603554328,"Ethereum, xDai","SparkLend is a stablecoin lending market. Unlike other lending protocols where rates fluctuate based on utilization or loan size, SparkLend offers governance-defined rates that do not vary based on those factors. This is made possible by Spark’s Liquidity Layer (SLL), which supplies consistent stablecoin liquidity to the protocol",https://www.spark.fi/,sparkdotfi
Lending,4,Compound V3,compound-v3,2383343353.057824,2.3833433530578243,5.159705072122757,"USDC, COMP, UNI, USDT, ETH, OP, ARB, GMX",122522693.61619003,0.12252269361619003,WBTC,0.9294513347312401,WSTETH,0.51765831449754,WETH,0.41063753230785,"Ethereum, Arbitrum, Base, Optimism, Polygon, Unichain, Mantle, Ronin, Scroll","Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",https://v3-app.compound.finance/,compoundfinance
Lending,5,Maple,maple,2074028384.1077647,2.074028384107765,99.99630402595464,"USDC, USDT",2073951728.557,2.0739517285569997,USDC,1.97412997007496,USDT,0.09982175848204,WETH,7.665555077e-05,"Ethereum, Solana",Maple Finance is an institutional capital marketplace powered by blockchain technology.,https://www.maple.finance,maplefinance
